,Unnamed: 0,floor_id,ds,y,power_consumption_ori,predict_value,yhat_lower,yhat_upper,error,flag
0,0,0,2022-06-08 15:00:00,1428.81,1428.81,,,,,
1,1,0,2022-06-08 16:00:00,1414.23,1414.23,,,,,
2,2,0,2022-06-08 17:00:00,1396.33,1396.33,,,,,
3,3,0,2022-06-08 18:00:00,1180.62,1180.62,,,,,
4,4,0,2022-06-08 19:00:00,1046.66,1046.66,,,,,
5,5,0,2022-06-08 20:00:00,970.25,970.25,,,,,
6,6,0,2022-06-08 21:00:00,932.99,932.99,,,,,
7,7,0,2022-06-08 22:00:00,904.78,904.78,,,,,
8,8,0,2022-06-08 23:00:00,517.26,517.26,,,,,
9,9,0,2022-06-09 00:00:00,372.23,372.23,,,,,
10,10,0,2022-06-09 01:00:00,333.57,333.57,,,,,
11,11,0,2022-06-09 02:00:00,248.1,248.1,,,,,
12,12,0,2022-06-09 03:00:00,241.24,241.24,,,,,
13,13,0,2022-06-09 04:00:00,232.74,232.74,,,,,
14,14,0,2022-06-09 05:00:00,249.9,249.9,,,,,
15,15,0,2022-06-09 06:00:00,283.1,283.1,,,,,
16,16,0,2022-06-09 07:00:00,1088.7,1088.7,,,,,
17,17,0,2022-06-09 08:00:00,1029.53,1029.53,,,,,
18,18,0,2022-06-09 09:00:00,1295.81,1295.81,,,,,
19,19,0,2022-06-09 10:00:00,1257.21,1257.21,,,,,
20,20,0,2022-06-09 11:00:00,1225.84,1225.84,,,,,
21,21,0,2022-06-09 12:00:00,1228.14,1228.14,,,,,
22,22,0,2022-06-09 13:00:00,1183.57,1183.57,,,,,
23,23,0,2022-06-09 14:00:00,1257.5,1257.5,,,,,
24,24,0,2022-06-09 15:00:00,1341.97,1341.97,,,,,
25,25,0,2022-06-09 16:00:00,1423.49,1423.49,,,,,
26,26,0,2022-06-09 17:00:00,1263.85,1263.85,,,,,
27,27,0,2022-06-09 18:00:00,1092.37,1092.37,,,,,
28,28,0,2022-06-09 19:00:00,996.48,996.48,,,,,
29,29,0,2022-06-09 20:00:00,875.05,875.05,,,,,
30,30,0,2022-06-09 21:00:00,963.12,635.42,,,,,
31,31,0,2022-06-09 22:00:00,908.825,420.95,,,,,
32,32,0,2022-06-09 23:00:00,401.71,401.71,,,,,
33,33,0,2022-06-10 00:00:00,347.09,347.09,,,,,
34,34,0,2022-06-10 01:00:00,313.98,313.98,,,,,
35,35,0,2022-06-10 02:00:00,216.93,216.93,,,,,
36,36,0,2022-06-10 03:00:00,211.64,211.64,,,,,
37,37,0,2022-06-10 04:00:00,205.37,205.37,,,,,
38,38,0,2022-06-10 05:00:00,208.5,208.5,,,,,
39,39,0,2022-06-10 06:00:00,227.08,227.08,,,,,
40,40,0,2022-06-10 07:00:00,952.2,952.2,,,,,
41,41,0,2022-06-10 08:00:00,1045.01,1045.01,,,,,
42,42,0,2022-06-10 09:00:00,1254.54,1254.54,,,,,
43,43,0,2022-06-10 10:00:00,1318.2,1318.2,,,,,
44,44,0,2022-06-10 11:00:00,1310.7,1310.7,,,,,
45,45,0,2022-06-10 12:00:00,1351.97,1351.97,,,,,
46,46,0,2022-06-10 13:00:00,1321.93,1321.93,,,,,
47,47,0,2022-06-10 14:00:00,1284.34,1284.34,,,,,
48,48,0,2022-06-10 15:00:00,1302.35,1302.35,,,,,
49,49,0,2022-06-10 16:00:00,1290.05,1290.05,,,,,
50,50,0,2022-06-10 17:00:00,1153.61,1153.61,,,,,
51,51,0,2022-06-10 18:00:00,1026.09,1026.09,,,,,
52,52,0,2022-06-10 19:00:00,926.41,926.41,,,,,
53,53,0,2022-06-10 20:00:00,875.91,875.91,,,,,
54,54,0,2022-06-10 21:00:00,888.29,888.29,,,,,
55,55,0,2022-06-10 22:00:00,887.0,887.0,,,,,
56,56,0,2022-06-10 23:00:00,685.62,685.62,,,,,
57,57,0,2022-06-11 00:00:00,335.99,335.99,,,,,
58,58,0,2022-06-11 01:00:00,308.65,308.65,,,,,
59,59,0,2022-06-11 02:00:00,220.6,220.6,,,,,
60,60,0,2022-06-11 03:00:00,218.11,218.11,,,,,
61,61,0,2022-06-11 04:00:00,219.6,219.6,,,,,
62,62,0,2022-06-11 05:00:00,220.53,220.53,,,,,
63,63,0,2022-06-11 06:00:00,280.39,280.39,,,,,
64,64,0,2022-06-11 07:00:00,963.59,963.59,,,,,
65,65,0,2022-06-11 08:00:00,880.04,880.04,,,,,
66,66,0,2022-06-11 09:00:00,1094.38,1094.38,,,,,
67,67,0,2022-06-11 10:00:00,1111.51,1111.51,,,,,
68,68,0,2022-06-11 11:00:00,1130.53,1130.53,,,,,
69,69,0,2022-06-11 12:00:00,1120.13,1120.13,,,,,
70,70,0,2022-06-11 13:00:00,1050.43,1050.43,,,,,
71,71,0,2022-06-11 14:00:00,1088.54,1088.54,,,,,
72,72,0,2022-06-11 15:00:00,1103.46,1103.46,,,,,
73,73,0,2022-06-11 16:00:00,1061.27,1061.27,,,,,
74,74,0,2022-06-11 17:00:00,1054.63,1054.63,,,,,
75,75,0,2022-06-11 18:00:00,975.94,975.94,,,,,
76,76,0,2022-06-11 19:00:00,977.8,977.8,,,,,
77,77,0,2022-06-11 20:00:00,937.77,937.77,,,,,
78,78,0,2022-06-11 21:00:00,963.12,482.02,,,,,
79,79,0,2022-06-11 22:00:00,908.825,396.94,,,,,
80,80,0,2022-06-11 23:00:00,394.32,394.32,,,,,
81,81,0,2022-06-12 00:00:00,333.81,333.81,,,,,
82,82,0,2022-06-12 01:00:00,295.53,295.53,,,,,
83,83,0,2022-06-12 02:00:00,207.29,207.29,,,,,
84,84,0,2022-06-12 03:00:00,212.81,212.81,,,,,
85,85,0,2022-06-12 04:00:00,201.16,201.16,,,,,
86,86,0,2022-06-12 05:00:00,197.35,197.35,,,,,
87,87,0,2022-06-12 06:00:00,218.59,218.59,,,,,
88,88,0,2022-06-12 07:00:00,864.23,864.23,,,,,
89,89,0,2022-06-12 08:00:00,873.97,873.97,,,,,
90,90,0,2022-06-12 09:00:00,971.56,971.56,,,,,
91,91,0,2022-06-12 10:00:00,1088.79,1088.79,,,,,
92,92,0,2022-06-12 11:00:00,1115.43,1115.43,,,,,
93,93,0,2022-06-12 12:00:00,1227.72,1227.72,,,,,
94,94,0,2022-06-12 13:00:00,1203.56,1203.56,,,,,
95,95,0,2022-06-12 14:00:00,1317.43,1317.43,,,,,
96,96,0,2022-06-12 15:00:00,1171.54,1171.54,,,,,
97,97,0,2022-06-12 16:00:00,1365.96,1365.96,,,,,
98,98,0,2022-06-12 17:00:00,1354.5,1354.5,,,,,
99,99,0,2022-06-12 18:00:00,1208.19,1208.19,,,,,
100,100,0,2022-06-12 19:00:00,1139.59,1139.59,,,,,
101,101,0,2022-06-12 20:00:00,1035.47,1035.47,,,,,
102,102,0,2022-06-12 21:00:00,1011.9,1011.9,,,,,
103,103,0,2022-06-12 22:00:00,975.66,975.66,,,,,
104,104,0,2022-06-12 23:00:00,432.24,432.24,,,,,
105,105,0,2022-06-13 00:00:00,341.56,341.56,,,,,
106,106,0,2022-06-13 01:00:00,311.8,311.8,,,,,
107,107,0,2022-06-13 02:00:00,215.0,215.0,,,,,
108,108,0,2022-06-13 03:00:00,218.65,218.65,,,,,
109,109,0,2022-06-13 04:00:00,212.03,212.03,,,,,
110,110,0,2022-06-13 05:00:00,214.12,214.12,,,,,
111,111,0,2022-06-13 06:00:00,220.86,220.86,,,,,
112,112,0,2022-06-13 07:00:00,1048.43,1048.43,,,,,
113,113,0,2022-06-13 08:00:00,1203.72,1203.72,,,,,
114,114,0,2022-06-13 09:00:00,1415.66,1415.66,,,,,
115,115,0,2022-06-13 10:00:00,1452.82,1452.82,,,,,
116,116,0,2022-06-13 11:00:00,1471.53,1471.53,,,,,
117,117,0,2022-06-13 12:00:00,1508.11,1508.11,,,,,
118,118,0,2022-06-13 13:00:00,1497.21,1497.21,,,,,
119,119,0,2022-06-13 14:00:00,1532.64,1532.64,,,,,
120,120,0,2022-06-13 15:00:00,1540.75,1540.75,,,,,
121,121,0,2022-06-13 16:00:00,1556.56,1556.56,,,,,
122,122,0,2022-06-13 17:00:00,1491.14,1491.14,,,,,
123,123,0,2022-06-13 18:00:00,1401.14,1401.14,,,,,
124,124,0,2022-06-13 19:00:00,1135.49,1135.49,,,,,
125,125,0,2022-06-13 20:00:00,1053.91,1053.91,,,,,
126,126,0,2022-06-13 21:00:00,993.25,993.25,,,,,
127,127,0,2022-06-13 22:00:00,943.91,943.91,,,,,
128,128,0,2022-06-13 23:00:00,518.27,823.25,,,,,
129,129,0,2022-06-14 00:00:00,500.7,500.7,,,,,
130,130,0,2022-06-14 01:00:00,314.08,314.08,,,,,
131,131,0,2022-06-14 02:00:00,226.44,226.44,,,,,
132,132,0,2022-06-14 03:00:00,228.25,228.25,,,,,
133,133,0,2022-06-14 04:00:00,215.19,215.19,,,,,
134,134,0,2022-06-14 05:00:00,212.18,212.18,,,,,
135,135,0,2022-06-14 06:00:00,309.89,309.89,,,,,
136,136,0,2022-06-14 07:00:00,1042.64,1042.64,,,,,
137,137,0,2022-06-14 08:00:00,1120.03,1120.03,,,,,
138,138,0,2022-06-14 09:00:00,1521.8,1521.8,,,,,
139,139,0,2022-06-14 10:00:00,1569.21,1569.21,,,,,
140,140,0,2022-06-14 11:00:00,1602.92,1602.92,,,,,
141,141,0,2022-06-14 12:00:00,1608.05,1608.05,,,,,
142,142,0,2022-06-14 13:00:00,1624.93,1624.93,,,,,
143,143,0,2022-06-14 14:00:00,1657.07,1657.07,,,,,
144,144,0,2022-06-14 15:00:00,1685.59,1685.59,,,,,
145,145,0,2022-06-14 16:00:00,1673.37,1673.37,,,,,
146,146,0,2022-06-14 17:00:00,1517.63,1517.63,,,,,
147,147,0,2022-06-14 18:00:00,1416.83,1416.83,,,,,
148,148,0,2022-06-14 19:00:00,1403.79,1403.79,,,,,
149,149,0,2022-06-14 20:00:00,1279.78,1279.78,,,,,
150,150,0,2022-06-14 21:00:00,1042.02,1042.02,,,,,
151,151,0,2022-06-14 22:00:00,971.75,971.75,,,,,
152,152,0,2022-06-14 23:00:00,518.27,859.25,,,,,
153,153,0,2022-06-15 00:00:00,379.78,827.25,,,,,
154,154,0,2022-06-15 01:00:00,323.825,758.78,,,,,
155,155,0,2022-06-15 02:00:00,231.14,707.3,,,,,
156,156,0,2022-06-15 03:00:00,263.26,263.26,,,,,
157,157,0,2022-06-15 04:00:00,249.47,249.47,,,,,
158,158,0,2022-06-15 05:00:00,266.99,266.99,,,,,
159,159,0,2022-06-15 06:00:00,335.46,335.46,,,,,
160,160,0,2022-06-15 07:00:00,1131.87,1131.87,,,,,
161,161,0,2022-06-15 08:00:00,1250.44,1250.44,,,,,
162,162,0,2022-06-15 09:00:00,1573.82,1573.82,,,,,
163,163,0,2022-06-15 10:00:00,1629.25,1629.25,,,,,
164,164,0,2022-06-15 11:00:00,1643.28,1643.28,,,,,
165,165,0,2022-06-15 12:00:00,1645.94,1645.94,,,,,
166,166,0,2022-06-15 13:00:00,1665.77,1665.77,,,,,
167,167,0,2022-06-15 14:00:00,1689.45,1689.45,,,,,
