,ds,y,date,time
184,2022-06-08 16:00,1414.23,2022-06-08,16:00:00
185,2022-06-08 17:00,1396.33,2022-06-08,17:00:00
186,2022-06-08 18:00,1180.62,2022-06-08,18:00:00
187,2022-06-08 19:00,1046.66,2022-06-08,19:00:00
188,2022-06-08 20:00,970.25,2022-06-08,20:00:00
189,2022-06-08 21:00,932.99,2022-06-08,21:00:00
190,2022-06-08 22:00,904.78,2022-06-08,22:00:00
191,2022-06-08 23:00,517.26,2022-06-08,23:00:00
192,2022-06-09 00:00,372.23,2022-06-09,00:00:00
193,2022-06-09 01:00,333.57,2022-06-09,01:00:00
194,2022-06-09 02:00,248.1,2022-06-09,02:00:00
195,2022-06-09 03:00,241.24,2022-06-09,03:00:00
196,2022-06-09 04:00,232.74,2022-06-09,04:00:00
197,2022-06-09 05:00,249.9,2022-06-09,05:00:00
198,2022-06-09 06:00,283.1,2022-06-09,06:00:00
199,2022-06-09 07:00,1088.7,2022-06-09,07:00:00
200,2022-06-09 08:00,1029.53,2022-06-09,08:00:00
201,2022-06-09 09:00,1295.81,2022-06-09,09:00:00
202,2022-06-09 10:00,1257.21,2022-06-09,10:00:00
203,2022-06-09 11:00,1225.84,2022-06-09,11:00:00
204,2022-06-09 12:00,1228.14,2022-06-09,12:00:00
205,2022-06-09 13:00,1183.57,2022-06-09,13:00:00
206,2022-06-09 14:00,1257.5,2022-06-09,14:00:00
207,2022-06-09 15:00,1341.97,2022-06-09,15:00:00
208,2022-06-09 16:00,1423.49,2022-06-09,16:00:00
209,2022-06-09 17:00,1263.85,2022-06-09,17:00:00
210,2022-06-09 18:00,1092.37,2022-06-09,18:00:00
211,2022-06-09 19:00,996.48,2022-06-09,19:00:00
212,2022-06-09 20:00,875.05,2022-06-09,20:00:00
213,2022-06-09 21:00,963.12,2022-06-09,21:00:00
214,2022-06-09 22:00,908.825,2022-06-09,22:00:00
215,2022-06-09 23:00,401.71,2022-06-09,23:00:00
216,2022-06-10 00:00,347.09,2022-06-10,00:00:00
217,2022-06-10 01:00,313.98,2022-06-10,01:00:00
218,2022-06-10 02:00,216.93,2022-06-10,02:00:00
219,2022-06-10 03:00,211.64,2022-06-10,03:00:00
220,2022-06-10 04:00,205.37,2022-06-10,04:00:00
221,2022-06-10 05:00,208.5,2022-06-10,05:00:00
222,2022-06-10 06:00,227.08,2022-06-10,06:00:00
223,2022-06-10 07:00,952.2,2022-06-10,07:00:00
224,2022-06-10 08:00,1045.01,2022-06-10,08:00:00
